product_sku,product_title,product_brand,product_series,product_short_description,product_body,product_features,product_status,store_id,sku,price,currency,attribute_watt,attribute_cct,attribute_ip_rating,attribute_length,attribute_voltage,attribute_accessories,field_lumens,field_efficacy,field_cri,field_power_factor,field_current,field_dimmable,field_dimming_protocol,field_rated_life,field_warranty_years,field_material,field_housing_color,field_mounting_type,field_weight,field_dimension_length,field_dimension_width,field_dimension_height,field_operating_temp_min,field_operating_temp_max,field_rohs,field_ce_marking,variation_status
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-3K-W1-AP,0.00,SEK,14,3000,20,500,220-240,W1,1680,120,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-4K-W1-AP,0.00,SEK,14,4000,20,500,220-240,W1,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-5K-W1-AP,0.00,SEK,14,5000,20,500,220-240,W1,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-6K-W1-AP,0.00,SEK,14,6500,20,500,220-240,W1,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-3K-W2-AP,0.00,SEK,14,3000,20,500,220-240,W2,1680,120,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-4K-W2-AP,0.00,SEK,14,4000,20,500,220-240,W2,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-5K-W2-AP,0.00,SEK,14,5000,20,500,220-240,W2,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-6K-W2-AP,0.00,SEK,14,6500,20,500,220-240,W2,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-3K-W3-AP,0.00,SEK,14,3000,20,500,220-240,W3,1680,120,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
TRITON-MAX,Triton MAX,TritonLED,MAX,Kraftfull LED-linjärarmatur IP20,Triton MAX är en högpresterande linjärarmatur för industriella och kommersiella miljöer.,Hög verkningsgrad|Lång livslängd|IP20,1,TritonLED Sweden AB,TM-05-14-4K-W3-AP,0.00,SEK,14,4000,20,500,220-240,W3,1820,130,80,0.95,0.06,0,OnOff,60000,5,Aluminium,White,Surface,0.8,500,70,55,-20,45,1,1,1
